Date,EUR,GBP,JPY
30jun2004,.8277,.5534,108.38
01jul2004,.8201000000000001,.5497,108.85
02jul2004,.822,.5494,108.31
03jul2004,.8126,.5455,108.38
04jul2004,.8126,.5455,108.31
05jul2004,.8118,.5456,108.29
06jul2004,.8143,.5466,109.15
07jul2004,.8138,.5427,109.49
08jul2004,.8090000000000001,.5393,108.5
09jul2004,.8070000000000001,.5408,108.82
10jul2004,.8058,.5377,108.34
11jul2004,.8057,.5377,108.21
12jul2004,.8060000000000001,.5374,107.97
13jul2004,.8059,.5362,108.25
14jul2004,.8115,.5389000000000001,108.73
15jul2004,.8074,.5388,109.16
16jul2004,.8101,.54,109.83
17jul2004,.8035,.5341,108.74
18jul2004,.8032,.5341,108.71
